Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
8599BGD-2,DS,TBDS,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,HMLG,369.00(Promotional Price),0,,,CJWS,195.8,47.5,1,XS-49
8599BGD-3,DS,TBDS,DOUBLE RECLINING SOFA,HMLG,249.00(Promotional Price),0,,,CJWS,198,54.5,1,XS-49
8599TPE-1,DS,TBDS,GLIDER RECLINING CHAIR,HMLG,225.00(Promotional Price),0,,,CJWS,99,24.9,1,XS-50
8599TPE-2,DS,TBDS,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,HMLG,259.00(Promotional Price),0,,,CJWS,187,47.5,1,XS-50
8599TPE-3,DS,TBDS,DOUBLE RECLINING SOFA,HMLG,279.00(Promotional Price),0,,,CJWS,198,54.5,1,XS-50
861K-1CK,DS,,"(1/3) C KING HDBD,BEECH WD FIN",HMLG,139.88(Unit Price),0,,,MM,130,14.1,1,
863SL-1,DS,,"(1/3) Q SLGH HDBD, BLK S-THRU     X",HMLG,,0,,,O,46.23,12.5,1,
864-4,DS,,"NIGHT STAND, ESPRESSO FIN",HMLG,99.00(Unit Price),0,,,MCHC,47.16,8.26,1,
864K-3CK,DS,,(3/3) CK RL & SL,HMLG,40.06(Unit Price),0,,,MCHC,29.68,2.12,1,
865C-5,DS,,"DRESSER, ESPRESSO FIN",HMLG,199.00(Unit Price),0,,,MCHC,209.88,29.9,1,
866F-1,DS,,"(1/3) FULL HDBD, CHRY FIN",HMLG,,0,,,VSVC,64.9,6.74,1,
866FNC-1,DS,,"(1/3) FULL HDBD, BRW CHRY FIN",HMLG,89.88(Unit Price),0,,,VSVC,64.9,6.74,1,XB-22
866FNC-2,IN,TBDS,"(2/3) FULL FTBD, BROWN CHRY FIN",HMLG,84.06(Unit Price),0,,,VSVC,54.78,7.97,1,XB-22
866FNC-3,IN,TBDS,(3/3) FULL RL & SLATS,HMLG,35.06(Unit Price),6,,,VSVC,40.04,1.94,1,XB-22
866KNC-1,IN,TBDS,"(1/3) CK/EK HDBD, BRW CHRY FIN",HMLG,139.88(Unit Price),32,13 04/20/2018,14 04/21/2018,VSVC,92.62,9.52,1,XB-22
866KNC-2,IN,TBDS,"(2/3) CK/EK FTBD, BRW CHRY FIN",HMLG,114.06(Unit Price),42,4 04/20/2018,,VSVC,68.42,11.3,1,XB-22
866KNC-3CK,IN,TBDS,(3/3) CK RAILS & SLATS,HMLG,45.06(Unit Price),6,,,VSVC,53.02,2.34,1,XB-22
866KNC-3EK,IN,TBDS,(3/3) EK RAILS & SLATS,HMLG,45.06(Unit Price),38,,,VSVC,53.02,2.21,1,XB-22
866NC-1,IN,TBDS,"(1/3) QUEEN HDBD, BRW CHRY FIN",HMLG,89.88(Unit Price),0,24 04/20/2018,,VSVC,76.12,7.49,1,XB-22
866NC-2,IN,TBDS,"(2/3) QUEEN FTBD, BRW CHRY FIN",HMLG,84.06(Unit Price),23,,,VSVC,56.98,9.2,1,XB-22
866NC-3,IN,TBDS,(3/3) QUEEN RAILS & SLATS,HMLG,35.06(Unit Price),17,5 04/20/2018,,VSVC,43.78,2.09,1,XB-22
