Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
1867-4, $ 269.00 ,,"NIGHT STAND, MARBLE TOP",77.00,14.50,B-10
1867-5, $ 579.00 ,,"DRESSER, MARBLE TOP",211.20,38.90,B-10
1867-6, $ 152.00 ,,MIRROR,55.00,7.16,B-10
1867-9, $ 499.00 ,,CHEST,169.40,34.10,B-10
1867-1*4," $ 1,499.00 ",,4PC SET (QB+NS+DR+MR),523.60,101.26,B-10
1867-1*5," $ 1,768.00 ",,5PC SET (QB+2NS+DR+MR),600.60,115.76,B-10
1867-1*9," $ 1,998.00 ",,5PC SET (QB+NS+DR+MR+CH),693.00,135.36,B-10
1867-102*, $ 559.00 ,,(2) DINING TABLE,259.60,28.70,D-6
1867A, $ 130.00 ,,"ARM CHAIR, FAUX SILK",30.80,4.74,D-6
1867S, $ 120.00 ,,"SIDE CHAIR, FAUX SILK",29.70,4.74,D-6
1867-40, $ 449.00 ,,SERVER ,231.00,37.28,D-6
1867-50*, $ 649.00 ,,(2) BUFFET & HUTCH,298.10,54.90,D-6
1867-102*5," $ 1,039.00 ",,5PC SET (TABLE + 4 SIDE CHAIRS),378.40,47.66,D-6
1867-102*7," $ 1,299.00 ",,7PC SET (TABLE + 2 ARM + 4 SIDE CHAIRS),440.00,57.14,D-6
1869K-1CK*, $ 369.00 ,,(3) CAL KING BED,176.00,24.20,B-22
1869K-1EK*, $ 369.00 ,,(3) EASTERN KING BED,167.75,23.90,B-22
1869-1*, $ 279.00 ,,(3) QUEEN BED,145.20,18.60,B-22
1869-4, $ 95.00 ,,"NIGHT STAND, HIDDEN DRAWER",52.80,10.10,B-22
1869-5, $ 225.00 ,,"DRESSER, HIDDEN DRAWERS",134.20,27.40,B-22
1869-6, $ 76.00 ,,MIRROR,41.80,6.40,B-22
1869-9, $ 200.00 ,,"CHEST, HIDDEN DRAWER",114.40,25.30,B-22
1869-12, $ 219.00 ,,LIFT-TOP LINGERIE CHEST,103.40,19.20,B-22
1869-1*4, $ 675.00 ,,4PC SET (QB+NS+DR+MR),374.00,62.50,B-22
1869-1*5, $ 770.00 ,,5PC SET (QB+2NS+DR+MR),426.80,72.60,B-22
1869-1*9, $ 875.00 ,,5PC SET (QB+NS+DR+MR+CH),488.40,87.80,B-22
1881KPU-1CK*, $ 129.00 ,,"(2) CAL KING PLATFORM BED, P/U",90.20,10.40,B-143
1881KPU-1EK*, $ 129.00 ,,"(2) EASTERN KING PLATFORM BED, P/U",91.30,10.50,B-143
1881PU-1*, $ 89.00 ,,"(2) QUEEN PLATFORM BED, P/U",75.90,9.23,B-143
1881FPU-1*, $ 89.00 ,,"(2) FULL PLATFORM BED, P/U",69.30,8.47,B-143
1882KN-1CK, $ 119.88 ,,"CAL KING HEADBOARD ONLY, FABRIC",58.30,12.60,B-141
1882KN-1CK*, $ 219.00 ,,"(3) CAL KING BED, FABRIC",118.80,18.10,B-141
1882KN-1EK, $ 119.88 ,,"EASTERN KING HEADBOARD ONLY, FABRIC",61.60,13.20,B-141
1882KN-1EK*, $ 219.00 ,,"(3) EASTERN KING BED, FABRIC",121.00,18.60,B-141
1882N-1, $ 89.88 ,,"QUEEN HEADBOARD ONLY, FABRIC",53.90,10.80,B-141
1882N-1*, $ 169.00 ,,"(3) QUEEN BED, FABRIC",108.90,15.90,B-141
1882FN-1, $ 89.88 ,,"FULL HEADBOARD ONLY, FABRIC",47.30,9.85,B-141
1882FN-1*, $ 169.00 ,,"(3) FULL BED, FABRIC",96.80,14.50,B-141
1883KN-1CK, $ 139.88 ,,"CAL KING HEADBOARD ONLY, FABRIC",64.90,23.20,B-138
1883KN-1CK*, $ 249.00 ,,"(3) CAL KING BED, FABRIC",123.20,28.40,B-138
1883KN-1EK, $ 139.88 ,,"EASTERN KING HEADBOARD ONLY, FABRIC",66.00,24.30,B-138
1883KN-1EK*, $ 249.00 ,,"(3) EASTERN KING BED, FABRIC",124.30,29.40,B-138
1883N-1, $ 109.88 ,,"QUEEN HEADBOARD ONLY, FABRIC",60.50,19.90,B-138
1883N-1*, $ 199.00 ,,"(3) QUEEN BED, FABRIC",112.20,24.70,B-138
1883FN-1, $ 109.88 ,,"FULL HEADBOARD ONLY, FABRIC",55.00,18.30,B-138
1883FN-1*, $ 199.00 ,,"(3) FULL BED, FABRIC",103.40,22.80,B-138
1885KN-1CK, $ 109.88 ,,"CAL KING HEADBOARD ONLY, FABRIC",40.70,9.59,B-141
1885KN-1CK*, $ 199.00 ,,"(3) CAL KING BED, FABRIC",103.40,15.50,B-141
1885KN-1EK, $ 109.88 ,,"EASTERN KING HEADBOARD ONLY, FABRIC",40.70,10.10,B-141
1885KN-1EK*, $ 199.00 ,,"(3) EASTERN KING BED, FABRIC",103.40,15.70,B-141
1885N-1, $ 79.88 ,,"QUEEN HEADBOARD ONLY, FABRIC",37.40,8.09,B-141
1885N-1*, $ 149.00 ,,"(3) QUEEN BED, FABRIC",94.60,13.30,B-141
1885FN-1, $ 79.88 ,,"FULL HEADBOARD ONLY, FABRIC",33.00,7.37,B-141
1885FN-1*, $ 149.00 ,,"(3) FULL BED, FABRIC",84.70,12.20,B-141
1890KN-1CK*, $ 149.00 ,,"(3) CAL KING BED, FABRIC",79.20,10.90,B-144
1890KN-1EK*, $ 149.00 ,,"(3) EASTERN KING BED, FABRIC",80.74,11.30,B-144
1890N-1*, $ 99.00 ,,"(3) QUEEN BED, FABRIC",71.50,9.45,B-144
1890FN-1*, $ 99.00 ,,"(3) FULL BED, FABRIC",64.46,8.63,B-144
1896KN-1CK*, $ 165.00 ,,"(2) CAL KING PLATFORM BED, FABRIC",110.00,8.99,B-144
1896KN-1EK*, $ 165.00 ,,"(2) EASTERN KING PLATFORM BED, FABRIC",112.20,9.23,B-144
1896N-1*, $ 115.00 ,,"(2) QUEEN PLATFORM BED, FABRIC",96.80,7.83,B-144
1896FN-1*, $ 115.00 ,,"(2) FULL PLATFORM BED, FABRIC",85.80,7.14,B-144
1904K-1CK*, $ 179.00 ,,(2) CAL KING BED,108.90,10.00,B-128
1904K-1EK*, $ 179.00 ,,(2) EASTERN KING BED,106.70,9.68,B-128
1904-1*, $ 119.00 ,,(2) QUEEN BED,99.00,8.06,B-128
1904F-1*, $ 119.00 ,,(2) FULL BED,90.20,7.29,Y-20
1904T-1*, $ 99.00 ,,(2) TWIN BED,70.84,5.82,Y-20
1904-4, $ 69.00 ,,NIGHT STAND,46.20,7.38,B-128
1904-5, $ 151.00 ,,DRESSER,121.00,24.10,B-128
1904-6, $ 36.00 ,,MIRROR,28.60,3.87,B-128
1904-9, $ 124.00 ,,CHEST,101.20,19.20,B-128
1904-1*4, $ 375.00 ,,4PC SET (QB+NS+DR+MR),294.80,43.41,B-128
1904-1*5, $ 444.00 ,,5PC SET (QB+2NS+DR+MR),341.00,50.79,B-128
1904-1*9, $ 499.00 ,,5PC SET (QB+NS+DR+MR+CH),396.00,62.61,B-128
1904T-1*4, $ 355.00 ,,4PC SET (TB+NS+DR+MR),266.64,41.17,Y-20
1904T-1*5, $ 424.00 ,,5PC SET (TB+2NS+DR+MR),312.84,48.55,Y-20
1904T-1*9, $ 479.00 ,,5PC SET (TB+NS+DR+MR+CH),367.84,60.37,Y-20
1904KGY-1CK*, $ 179.00 ,,(2) CAL KING BED,98.10,9.34,B-127
1904KGY-1EK*, $ 179.00 ,,(2) EASTERN KING BED,89.28,9.00,B-127
1904GY-1*, $ 119.00 ,,(2) QUEEN BED,81.57,7.49,B-127
1904FGY-1*, $ 119.00 ,,(2) FULL BED,76.06,6.85,Y-19
1904TGY-1*, $ 99.00 ,,(2) TWIN BED,60.63,5.57,Y-19
1904GY-4, $ 69.00 ,,NIGHT STAND,37.48,7.33,B-127
1904GY-5, $ 151.00 ,,DRESSER,103.62,24.14,B-127
1904GY-6, $ 36.00 ,,MIRROR,24.25,2.80,B-127
1904GY-9, $ 124.00 ,,CHEST,85.98,19.18,B-127
1904GY-1*4, $ 375.00 ,,4PC SET (QB+NS+DR+MR),246.92,41.76,B-127
1904GY-1*5, $ 444.00 ,,5PC SET (QB+2NS+DR+MR),284.40,49.09,B-127
1904GY-1*9, $ 499.00 ,,5PC SET (QB+NS+DR+MR+CH),332.90,60.94,B-127
1904TGY-1*4, $ 355.00 ,,4PC SET (TB+NS+DR+MR),225.98,39.84,Y-19
1904TGY-1*5, $ 424.00 ,,5PC SET (TB+2NS+DR+MR),263.46,47.17,Y-19
1904TGY-1*9, $ 479.00 ,,5PC SET (TB+NS+DR+MR+CH),311.96,59.02,Y-19
1905K-1CK*, $ 259.00 ,,(3) CAL KING BED,141.85,10.20,B-67
1905K-1EK*, $ 259.00 ,,(3) EASTERN KING BED,142.51,10.00,B-67
1905-1*, $ 179.00 ,,(3) QUEEN BED,101.94,8.26,B-67
1905-4, $ 99.00 ,,NIGHT STAND,46.60,8.00,B-67
1905-5, $ 265.00 ,,DRESSER,121.59,25.90,B-67
1905-6, $ 56.00 ,,MIRROR,39.29,3.48,B-67
1905-9, $ 199.00 ,,CHEST,111.58,21.50,B-67
1905-14, $ 34.00 ,,VANITY STOOL,16.50,1.25,B-67
1905-15*, $ 365.00 ,,(3) VANITY DRESSER WITH MIRROR,197.50,24.10,B-67
1905-1*4, $ 599.00 ,,4PC SET (QB+NS+DR+MR),309.42,45.64,B-67
1905-1*5, $ 698.00 ,,5PC SET (QB+2NS+DR+MR),356.02,53.64,B-67
1905-1*9, $ 798.00 ,,5PC SET (QB+NS+DR+MR+CH),421.00,67.14,B-67
1907K-1CK*, $ 349.00 ,,"(3) CAL KING BED, ALL POPLAR SOLID",128.54,18.30,B-91
1907K-1EK*, $ 349.00 ,,(3) EASTERN KING BED,124.07,17.80,B-91
1907-1*, $ 249.00 ,,(3) QUEEN BED,113.55,15.20,B-91
1907-4, $ 109.00 ,,"NIGHT STAND, ALL POPLAR SOLID",47.52,10.70,B-91
1907-5, $ 329.00 ,,DRESSER,126.85,33.70,B-91
1907-6, $ 63.00 ,,MIRROR,32.25,5.21,B-91
1907-9, $ 299.00 ,,CHEST,156.44,32.00,B-91
1907-1*4, $ 750.00 ,,4PC SET (QB+NS+DR+MR),320.17,64.81,B-91
1907-1*5, $ 859.00 ,,5PC SET (QB+2NS+DR+MR),367.69,75.51,B-91
1907-1*9," $ 1,049.00 ",,5PC SET (QB+NS+DR+MR+CH),476.61,96.81,B-91
1907KW-1CK*, $ 349.00 ,,"(3) CAL KING BED, WHITE, ALL POPLAR SOLID",128.55,18.37,B-92
1907KW-1EK*, $ 349.00 ,,"(3) EASTERN KING BED, ALL POPLAR SOLID",124.08,17.89,B-92
1907W-1*, $ 249.00 ,,"(3) QUEEN BED, ALL POPLAR SOLID",113.56,15.22,B-92
1907W-4, $ 109.00 ,,"NIGHT STAND, WHITE, ALL POPLAR SOLID",47.52,10.71,B-92
1907W-5, $ 329.00 ,,DRESSER,126.85,33.68,B-92
1907W-6, $ 63.00 ,,MIRROR,32.25,5.24,B-92
1907W-9, $ 299.00 ,,CHEST,156.44,31.95,B-92
1907W-1*4, $ 750.00 ,,4PC SET (QB+NS+DR+MR),320.18,64.85,B-92
1907W-1*5, $ 859.00 ,,5PC SET (QB+2NS+DR+MR),367.70,75.55,B-92
1907W-1*9," $ 1,049.00 ",,5PC SET (QB+NS+DR+MR+CH),476.62,96.80,B-92
1908K-1CK*, $ 189.00 ,,"(2) CAL KING BED, P/U",118.43,8.35,B-74
1908K-1EK*, $ 189.00 ,,"(2) EASTERN KING BED, P/U",98.34,8.83,B-74
1908-1*, $ 129.00 ,,"(2) QUEEN BED, P/U",82.21,7.45,B-74
1908-4, $ 69.00 ,,NIGHT STAND,39.97,7.83,B-74
1908-5, $ 179.00 ,,DRESSER,123.88,28.70,B-74
1908-6, $ 33.00 ,,MIRROR,30.80,2.51,B-74
1908-9, $ 140.00 ,,CHEST,103.55,22.55,B-74
1908-11, $ 140.00 ,,TV CHEST,92.95,19.00,B-74
1908-1*4, $ 410.00 ,,4PC SET (QB+NS+DR+MR),276.87,46.49,B-74
1908-1*5, $ 479.00 ,,5PC SET (QB+2NS+DR+MR),316.84,54.32,B-74
1908-1*9, $ 550.00 ,,5PC SET (QB+NS+DR+MR+CH),380.42,69.04,B-74
1909RFK-1CK*, $ 279.00 ,,(3) CAL KING SLEIGH BED,154.00,18.16,B-71
1909RFK-1EK*, $ 279.00 ,,(3) EASTERN KING SLEIGH BED ,149.60,17.38,B-71
1909RF-1*, $ 219.00 ,,(3) QUEEN SLEIGH BED,129.80,15.42,B-71
1909RF-4, $ 119.00 ,,"NIGHT STAND, MEDIUM OAK",63.80,10.76,B-71
1909RF-5, $ 329.00 ,,DRESSER,176.00,37.15,B-71
1909RF-6, $ 63.00 ,,"MIRROR, BEVEL",46.20,3.99,B-71
1909RF-9, $ 269.00 ,,CHEST,140.80,30.49,B-71
1909RF-1*4, $ 730.00 ,,4PC SET (QB+NS+DR+MR),415.80,67.33,B-71
1909RF-1*5, $ 849.00 ,,5PC SET (QB+2NS+DR+MR),479.60,78.09,B-71
1909RF-1*9, $ 999.00 ,,5PC SET (QB+NS+DR+MR+CH),556.60,97.82,B-71
1911K-1CK*, $ 369.00 ,,(3) CAL KING BED,180.40,22.20,B-23
1911K-1EK*, $ 369.00 ,,(3) EASTERN KING BED,180.40,22.20,B-23
1911-1*, $ 279.00 ,,(3) QUEEN BED,154.00,18.20,B-23
1911-4, $ 149.00 ,,NIGHT STAND,74.80,11.10,B-23
1911-5, $ 339.00 ,,DRESSER,173.80,32.40,B-23
1911-6, $ 93.00 ,,MIRROR,41.80,5.19,B-23
1911-9, $ 319.00 ,,CHEST,162.80,29.30,B-23
1911-1*4, $ 860.00 ,,4PC SET (QB+NS+DR+MR),444.40,66.89,B-23
1911-1*5," $ 1,009.00 ",,5PC SET (QB+2NS+DR+MR),519.20,77.99,B-23
1911-1*9," $ 1,179.00 ",,5PC SET (QB+NS+DR+MR+CH),607.20,96.19,B-23
1912K-1CK*, $ 599.00 ,,"(3) CAL KING BED, OAK SOLID MOLDINGS ",212.30,25.50,B-19
1912K-1EK*, $ 599.00 ,,(3) EASTERN KING BED,209.00,25.10,B-19
1912-1*, $ 499.00 ,,(3) QUEEN BED,184.80,17.76,B-19
1912-4, $ 199.00 ,,"NIGHT STAND, OAK SOLID MOLDINGS ",89.10,13.80,B-19
1912-5, $ 499.00 ,,DRESSER,182.60,35.30,B-19
1912-6, $ 143.00 ,,MIRROR,44.00,5.22,B-19
1912-9, $ 359.00 ,,CHEST,211.20,34.30,B-19
1912-1*4," $ 1,340.00 ",,4PC SET (QB+NS+DR+MR),500.50,72.08,B-19
1912-1*5," $ 1,539.00 ",,5PC SET (QB+2NS+DR+MR),589.60,85.88,B-19
1912-1*9," $ 1,699.00 ",,5PC SET (QB+NS+DR+MR+CH),711.70,106.38,B-19
1915-04N, $ 45.00 ,,END TABLE,16.28,1.41,T-4
1915-05N, $ 59.00 ,,SOFA TABLE,25.52,2.47,T-4
1915-30N, $ 59.00 ,,COCKTAIL TABLE,29.70,3.18,T-4
1915K-1CK*, $ 279.00 ,,"(3) CAL KING PLATFORM BED, P/U",152.46,17.07,B-56
1915K-1EK*, $ 279.00 ,,"(3) EASTERN KING PLATFORM BED, P/U",156.20,18.29,B-56
1915-1*, $ 219.00 ,,"(3) QUEEN PLATFORM BED, P/U",133.76,15.05,B-56
1915F-1*, $ 219.00 ,,"(3) FULL PLATFORM BED, P/U",120.12,14.03,B-56
1915-4, $ 69.00 ,,NIGHT STAND,30.42,30.80,B-56
1915-5, $ 299.00 ,,DRESSER,158.40,158.40,B-56
1915-6, $ 43.00 ,,MIRROR,22.05,21.12,B-56
1915-9, $ 249.00 ,,CHEST,112.00,16.01,B-56
1915-10, $ 189.00 ,,DISPLAY CABINET,85.10,14.09,B-56
1915-1*4, $ 630.00 ,,4PC SET (QB+NS+DR+MR),344.63,225.37,B-56
1915-1*5, $ 699.00 ,,5PC SET (QB+2NS+DR+MR),375.05,256.17,B-56
1915-1*9, $ 879.00 ,,5PC SET (QB+NS+DR+MR+CH),456.63,241.38,B-56
1915-60, $ 89.00 ,,DINING TABLE,83.20,6.60,D-103
1915S, $ 44.00 ,,SIDE CHAIR,16.00,2.28,D-103
1915-40, $ 239.00 ,,SERVER,97.50,16.25,D-103
1915-60*5, $ 265.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),147.20,15.72,D-103
1916K-1CK*, $ 389.00 ,,"(3) CAL KING BED, LED LIGHTING",187.00,13.40,B-38
1916K-1EK*, $ 389.00 ,,"(3) EASTERN KING BED, LED LIGHTING",178.20,13.10,B-38
1916-1*, $ 299.00 ,,"(3) QUEEN BED, LED LIGHTING",146.30,10.90,B-38
1916F-1*, $ 299.00 ,,"(3) FULL BED, LED LIGHTING",129.00,9.25,B-38
1916-4, $ 139.00 ,,"NIGHT STAND, LED LIGHTING",70.40,11.30,B-38
1916-5, $ 299.00 ,,DRESSER,184.80,32.70,B-38
1916-6, $ 113.00 ,,"MIRROR, LED LIGHTING",59.40,3.11,B-38
1916-9, $ 249.00 ,,CHEST,140.80,25.70,B-38
1916-14, $ 34.00 ,,VANITY STOOL,15.40,1.49,B-38
1916-15*, $ 365.00 ,,(3) VANITY SET WITH MIRROR,211.20,24.28,B-38
1916-FBH, $ 75.00 ,,BED BENCH,30.80,3.75,B-38
1916-1*4, $ 850.00 ,,4PC SET (QB+NS+DR+MR-LED),460.90,58.01,B-38
1916-1*5, $ 989.00 ,,5PC SET (QB+2NS+DR+MR-LED),531.30,69.31,B-38
1916-1*9," $ 1,099.00 ",,5PC SET (QB+NS+DR+MR-LED+CH),601.70,83.71,B-38
1916KBK-1CK*, $ 389.00 ,,"(3) CAL KING BED, LED LIGHTING, BLACK",187.00,13.50,B-37
1916KBK-1EK*, $ 389.00 ,,"(3) EASTERN KING BED, LED LIGHTING, BLACK",178.20,13.11,B-37
1916BK-1*, $ 299.00 ,,"(3) QUEEN BED, LED LIGHTING, BLACK",146.30,10.67,B-37
1916FBK-1*, $ 299.00 ,,"(3) FULL BED, LED LIGHTING, BLACK",129.00,9.25,B-37
1916BK-4, $ 139.00 ,,"NIGHT STAND, LED LIGHTING",70.40,11.21,B-37
1916BK-5, $ 299.00 ,,"DRESSER, BLACK",184.80,32.42,B-37
1916BK-6, $ 113.00 ,,"MIRROR, LED LIGHTING",59.40,3.10,B-37
1916BK-9, $ 249.00 ,,"CHEST, BLACK",140.80,25.59,B-37
1916BK-14, $ 34.00 ,,"VANITY STOOL, BLACK",15.40,1.49,B-37
1916BK-15*, $ 365.00 ,,(3) VANITY SET WITH MIRROR,211.20,24.28,B-37
1916BK-FBH, $ 75.00 ,,BED BENCH,30.80,3.75,B-37
1916BK-1*4, $ 850.00 ,,4PC SET (QB+NS+DR+MR),460.90,57.41,B-37
1916BK-1*5, $ 989.00 ,,5PC SET (QB+2NS+DR+MR),531.30,68.62,B-37
1916BK-1*9," $ 1,099.00 ",,5PC SET (QB+NS+DR+MR+CH),601.70,83.00,B-37
1916KGY-1CK*, $ 389.00 ,,"(3) CAL KING BED, LED HEADBOARD",187.00,13.50,B-36
1916KGY-1EK*, $ 389.00 ,,"(3) EASTERN KING BED, LED HEADBOARD",178.20,13.11,B-36
1916GY-1*, $ 299.00 ,,"(3) QUEEN BED, LED HEADBOARD",146.30,10.67,B-36
1916GY-4, $ 139.00 ,,NIGHT STAND,70.40,11.21,B-36
1916GY-5, $ 299.00 ,,DRESSER,184.80,32.42,B-36
1916GY-6, $ 113.00 ,,MIRROR W/BEVEL&LED LIGHTING,59.40,3.10,B-36
1916GY-9, $ 249.00 ,,CHEST,140.80,25.59,B-36
1916GY-14, $ 34.00 ,,VANITY STOOL,15.40,1.49,B-36
1916GY-15*, $ 365.00 ,,(3) VANITY DRESSER WITH MIRROR,211.20,24.28,B-36
1916GY-FBH, $ 75.00 ,,BED BENCH,30.80,3.75,B-36
1916GY-1*4, $ 850.00 ,,4PC SET (QB+NS+DR+MR),460.90,57.41,B-36
1916GY-1*5, $ 989.00 ,,5PC SET (QB+2NS+DR+MR),531.30,68.62,B-36
1916GY-1*9," $ 1,099.00 ",,5PC SET (QB+NS+DR+MR+CH),601.70,83.00,B-36
1916-84, $ 279.00 ,,"DINING TABLE, GLASS INSERT",173.80,18.00,D-40
1916S, $ 55.00 ,,SIDE CHAIR， PU,17.60,3.49,D-40
1916-07, $ 379.00 ,,"BAR COUNTER, LED LIGHTING",184.80,35.25,D-40
1916-50, $ 399.00 ,,"CURIO, LED LIGHTING",195.80,43.69,D-40
1916-84*5, $ 499.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),244.20,31.96,D-40
1918K-1CK*, $ 469.00 ,,"(3) CAL KING BED, FABRIC",237.60,29.20,B-20
1918K-1EK*, $ 469.00 ,,"(3) EASTERN KING BED, FABRIC",231.00,26.50,B-20
1918-1*, $ 399.00 ,,"(3) QUEEN BED, FABRIC",206.80,21.80,B-20
1918-4, $ 169.00 ,,NIGHT STAND,83.60,12.80,B-20
1918-5, $ 399.00 ,,DRESSER,200.20,38.10,B-20
1918-6, $ 103.00 ,,MIRROR,48.40,5.03,B-20
1918-9, $ 329.00 ,,CHEST,167.20,29.70,B-20
1918-11, $ 309.00 ,,TV CHEST,143.00,28.10,B-20
1918-1*4," $ 1,070.00 ",,4PC SET (QB+NS+DR+MR),539.00,77.73,B-20
1918-1*5," $ 1,239.00 ",,5PC SET (QB+2NS+DR+MR),622.60,90.53,B-20
1918-1*9," $ 1,399.00 ",,5PC SET (QB+NS+DR+MR+CH),706.20,107.43,B-20
1919K-1CK*, $ 699.00 ,,"(3) CAL KING BED, BONDED LEATHER",334.40,58.60,B-7
1919K-1EK*, $ 699.00 ,,"(3) EASTERN KING BED, BONDED LEATHER",327.80,56.10,B-7
1919-1*, $ 599.00 ,,"(3) QUEEN BED, BONDED LEATHER",279.40,45.00,B-7
1919-4, $ 259.00 ,,"NIGHT STAND, MARBLE TOP",103.40,16.50,B-7
1919-5, $ 599.00 ,,"DRESSER, MARBLE TOP",261.80,43.30,B-7
1919-6, $ 142.00 ,,MIRROR,48.40,9.14,B-7
1919-9, $ 449.00 ,,CHEST,182.60,35.80,B-7
1919-1*4," $ 1,599.00 ",,4PC SET (QB+NS+DR+MR),693.00,113.94,B-7
1919-1*5," $ 1,858.00 ",,5PC SET (QB+2NS+DR+MR),796.40,130.44,B-7
1919-1*9," $ 2,048.00 ",,5PC SET (QB+NS+DR+MR+CH),875.60,149.74,B-7
1919KNC-1CK*, $ 699.00 ,,"(3) CAL KING BED, BONDED LEATHER",334.40,58.60,B-8
1919KNC-1EK*, $ 699.00 ,,"(3) EASTERN KING BED, BONDED LEATHER",327.80,56.10,B-8
1919NC-1*, $ 599.00 ,,(3) QUEEN BED,301.40,45.09,B-8
1919NC-4, $ 259.00 ,,"NIGHTSTAND, MARBLE TOP",103.40,16.50,B-8
1919NC-5, $ 599.00 ,,"DRESSER, MARBLE TOP",261.80,43.30,B-8
1919NC-6, $ 142.00 ,,MIRROR,48.40,9.14,B-8
1919NC-9, $ 449.00 ,,CHEST,182.60,35.80,B-8
1919NC-14, $ 59.00 ,,VANITY STOOL,17.60,2.50,B-8
1919NC-15*, $ 499.00 ,,(3) VANITY DRESSER WITH MIRROR,213.40,26.60,B-8
1919NC-1*4," $ 1,599.00 ",,4PC SET (QB+NS+DR+MR),715.00,114.03,B-8
1919NC-1*5," $ 1,858.00 ",,5PC SET (QB+2NS+DR+MR),818.40,130.53,B-8
1919NC-1*9," $ 2,048.00 ",,5PC SET (QB+NS+DR+MR+CH),897.60,149.83,B-8
1927K-1CK*, $ 399.00 ,,"(3) CAL KING PLATFORM BED, ALL POPLAR SOLID",175.51,23.61,B-89
1927K-1EK*, $ 399.00 ,,(3) EASTERN KING PLATFORM BED,169.80,23.22,B-89
1927-1*, $ 299.00 ,,(3) QUEEN PLATFORM BED,160.98,19.49,B-89
1927-4, $ 149.00 ,,"NIGHT STAND, ALL POPLAR SOLID",58.25,8.80,B-89
1927-5, $ 349.00 ,,DRESSER,140.33,25.72,B-89
1927-6, $ 63.00 ,,MIRROR,30.01,2.81,B-89
1927-9, $ 299.00 ,,CHEST,121.79,22.37,B-89
1927-1*4, $ 860.00 ,,4PC SET (QB+NS+DR+MR),389.57,56.82,B-89
1927-1*5," $ 1,009.00 ",,5PC SET (QB+2NS+DR+MR),447.82,65.62,B-89
1927-1*9," $ 1,159.00 ",,5PC SET (QB+NS+DR+MR+CH),511.36,79.19,B-89
1928K-1CK*, $ 299.00 ,,"(3) CAL KING BED, P/U",187.10,24.60,B-29
1928K-1EK*, $ 299.00 ,,"(3) EASTERN KING BED, P/U",182.70,22.21,B-29
1928-1*, $ 199.00 ,,"(3) QUEEN BED, P/U",152.10,18.29,B-29
1928F-1*, $ 199.00 ,,(3) FULL BED,120.15,16.79,B-29
1928-4, $ 99.00 ,,NIGHT STAND,63.80,9.18,B-29
1928-5, $ 239.00 ,,DRESSER,162.80,25.38,B-29
1928-6, $ 62.00 ,,MIRROR,46.30,5.98,B-29
1928-9, $ 199.00 ,,CHEST,147.80,24.29,B-29
1928-14, $ 32.00 ,,VANITY STOOL (1PC/CTN),11.00,1.52,B-29
1928-15*, $ 299.00 ,,(3) VANITY SET (LEFT/RIGHT/CENTER),169.40,22.77,B-29
1928-1*4, $ 599.00 ,,4PC SET (QB+NS+DR+MR),425.00,58.83,B-29
1928-1*5, $ 698.00 ,,5PC SET (QB+2NS+DR+MR),488.80,68.01,B-29
1928-1*9, $ 798.00 ,,5PC SET (QB+NS+DR+MR+CH),572.80,83.12,B-29
1928-78, $ 179.00 ,,DINING TABLE,110.00,12.32,D-23
1928S, $ 55.00 ,,SIDE CHAIR,17.60,3.31,D-23
1928-40, $ 299.00 ,,SERVER,154.00,24.41,D-23
1928-78*5, $ 399.00 ,,5PC SET (TABLE + 4 SIDE CHAIRS),180.40,25.56,D-23
1933K-1CK*, $ 549.00 ,,(3) CAL KING PLATFORM BED W/ FOOTBOARD STORAGE,413.60,43.45,B-32
1933K-1EK*, $ 549.00 ,,(3) EASTERN KING PLATFORM BED W/ FOOTBOARD STORAGE,404.80,43.02,B-32
1933-1*, $ 449.00 ,,(3) QUEEN PLATFORM BED  W/ FOOTBOARD STORAGE,346.50,35.62,B-32
1933-4, $ 129.00 ,,NIGHT STAND,89.10,10.40,B-32
1933-5, $ 349.00 ,,DRESSER,234.30,35.38,B-32
1933-6, $ 72.00 ,,MIRROR,51.70,5.87,B-32
1933-9, $ 299.00 ,,CHEST,200.64,26.45,B-32
1933-1*4, $ 999.00 ,,4PC SET (QB+NS+DR+MR),721.60,87.27,B-32
1933-1*5," $ 1,128.00 ",,5PC SET (QB+2NS+DR+MR),810.70,97.67,B-32
1933-1*9," $ 1,298.00 ",,5PC SET (QB+NS+DR+MR+CH),922.24,113.72,B-32
1935-04, $ 175.00 ,,END TABLE,52.80,5.97,T-45
1935-05, $ 199.00 ,,SOFA TABLE,79.20,7.93,T-45
1935-30, $ 199.00 ,,COCKTAIL TABLE,77.44,10.06,T-45
1935PNK-1CK*, $ 599.00 ,,"(3) CAL KING BED, FABRIC",301.40,33.50,B-12
1935PNK-1EK*, $ 599.00 ,,"(3) EASTERN KING BED, FABRIC",292.60,31.70,B-12
1935PN-1*, $ 499.00 ,,"(3) QUEEN BED, FABRIC",248.60,25.40,B-12
1935-4, $ 259.00 ,,NIGHT STAND,105.60,13.40,B-12
1935-5, $ 579.00 ,,DRESSER,244.20,40.60,B-12
1935-6, $ 132.00 ,,MIRROR,47.30,5.71,B-12
1935-9, $ 479.00 ,,CHEST,224.40,34.80,B-12
1935-1*4," $ 1,469.00 ",,4PC SET (QB+NS+DR+MR),645.70,85.11,B-12
