Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
8329BRW-2, $ 219.00 , Net ,DOUBLE RECLINING LOVE SEAT,180.40,25.00,S-62
8329BRW-3, $ 239.00 , Net ,DOUBLE RECLINING SOFA,202.40,34.60,S-62
8329CH-1, $ 149.00 , Net ,RECLINING CHAIR,99.00,14.70,S-63
8329CH-2, $ 219.00 , Net ,DOUBLE RECLINING LOVE SEAT,180.40,25.00,S-63
8329CH-3, $ 239.00 , Net ,DOUBLE RECLINING SOFA,202.40,34.60,S-63
8334BLK-1, $ 215.00 , Net ,SWIVEL GLIDER RECLINING CHAIR,88.00,17.80,S-44
8334BLK-2, $ 329.00 , Net ,DOUBLE GLIDER RECLINING LOVE SEAT W/ CNTR CONSOLE,149.60,33.90,S-44
8334BLK-3, $ 329.00 , Net ,DOUBLE RECLINING SOFA W/ CNTR DROP-DOWN CUP HLDR,185.90,38.20,S-44
8334DBR-1, $ 215.00 , Net ,SWIVEL GLIDER RECLINING CHAIR,88.00,17.80,S-43
8334DBR-2, $ 329.00 , Net ,DOUBLE GLIDER RECLINING LOVE SEAT W/ CENTER CONSOLE,149.60,33.90,S-43
8334DBR-3, $ 329.00 , Net ,DOUBLE RECLINING SOFA W/ CENTER DROP-DOWN CUP HOLDERS,185.90,38.20,S-43
8336-AC, $ 115.00 , Net ,(3/6) ARMLESS CHAIR,47.30,17.25,S-17
8336-AR, $ 135.00 , Net ,(4/6) ARMLESS RECLINING CHAIR,80.30,17.25,S-17
8336-CN, $ 63.04 , Net ,(5/6) CONSOLE,28.60,6.56,S-17
8336-CR, $ 198.04 , Net ,(6/6) CORNER SEAT,95.70,42.98,S-17
8336-LC, $ 218.88 , Net ,"(1/6) LEFT SIDE CHAISE, PUSH BACK RECLINER",105.60,38.73,S-17
8336-LR, $ 168.88 , Net ,(1/6) LEFT SIDE RECLINING CHAIR,99.00,23.92,S-17
8336-RC, $ 218.04 , Net ,"(2/6) RIGHT SIDE CHAISE, PUSH BACK RECLINER",105.60,38.73,S-17
8336-RR, $ 168.04 , Net ,(2/6) RIGHT SIDE RECLINING CHAIR,99.00,23.92,S-17
8336*6LRRC, $ 898.00 , Net ,(6) SECTIONAL AS SHOWN ON S-17 BOTTOM,456.50,146.69,S-17
8336*6LRRR, $ 848.00 , Net ,(6) SECTIONAL AS SHOWN ON S-17,449.90,131.88,S-17
8367CH-3, $ 149.88 , Net ,(1/2) REVERSIBLE 3-SEATER,87.34,25.09,S-159
8367CH-4, $ 50.00 , Net ,OTTOMAN,26.55,8.89,S-159
8367CH-5, $ 149.12 , Net ,(2/2) REVERSIBLE CHAISE,85.80,24.25,S-159
8367CH*, $ 299.00 , Net ,2PC SET: SECTIONAL,173.14,49.34,S-159
8367TP-3, $ 149.88 , Net ,(1/2) REVERSIBLE 3-SEATER,87.34,25.09,S-160
8367TP-4, $ 50.00 , Net ,OTTOMAN,26.55,8.89,S-160
8367TP-5, $ 149.12 , Net ,(2/2) REVERSIBLE CHAISE,85.80,24.25,S-160
8367TP*, $ 299.00 , Net ,2PC SET: SECTIONAL,173.14,49.34,S-160
8378BLK-4, $ 59.00 , Net ,OTTOMAN,30.80,10.38,S-158
8378BLK-L, $ 149.88 , Net ,LEFT SIDE 3-SEATER,92.40,22.73,S-158
8378BLK-R, $ 149.12 , Net ,RIGHT SIDE CHAISE,92.40,23.91,S-158
8378BLK*, $ 299.00 , Net ,(2) SECTIONAL AS SHOWN ON S-158 BOTTOM,184.80,46.64,S-158
8378BRW-4, $ 59.00 , Net ,OTTOMAN,30.80,10.38,S-158
8378BRW-L, $ 149.88 , Net ,(1/2) LEFT SIDE 3-SEATER,92.40,22.73,S-158
8378BRW-R, $ 149.12 , Net ,(2/2) RIGHT SIDE CHAISE,92.40,23.91,S-158
8378BRW*, $ 299.00 , Net ,(2) SECTIONAL AS SHOWN ON S-158 TOP,184.80,46.64,S-158
8378GRY-4, $ 59.00 , Net ,OTTOMAN,30.80,10.38,S-157
