Location,Customer ID,Customer Name,Contact Type,Catalog Type,Ship To ID,Ship To Name,Sales Order,Salesman,Model,Model Description,Status,Sub Status,Invoice,Invoice Date,Price Name,Channel,State,Country,Order Qty,Order Price,Shipped Qty,Shipped Price,Shipped CBF
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,5585-78,Dining Table,Closed,,HE190555,01/31/2019,Unit Price,,UT,US United States,1,245.00,1,245.00,11.198
"HOMELEGANCE, INC",UTSPA,SPARROWS HOME FURNISHINGS,O/S Customer;,AMZ01;,UTSPAS,SPARROWS HOME FURNISHINGS,S101745,SRSTE,5585S,Side Chair,Closed,,HE190555,01/31/2019,Unit Price,,UT,US United States,6,276.00,6,276.00,13.200
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,2615DC-04B,(2/2)Pedestal End Table Base,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,2,30.00,2,30.00,0.800
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,8480GRY-1PW,Power Reclining Chair,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,1,309.00,1,309.00,25.800
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,8480GRY-2PW,Power Double Reclining Love Seat,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,2,958.00,2,958.00,79.000
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,8480GRY-3PW,Power Double Reclining Sofa,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,1,499.00,1,499.00,53.500
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,1715-94,Dining Table,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,1,369.00,1,369.00,25.917
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,1715S,Side Chair,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,4,248.00,4,248.00,16.200
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,1715-BH,Bench With Back,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,2,310.00,2,310.00,35.138
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,8480BRW-2PW,Power Double Reclining Love Seat,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,1,479.00,1,479.00,39.500
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,8480BRW-3PW,Power Double Reclining Sofa,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,1,499.00,1,499.00,53.500
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,8480BRW-1,Glider Reclining Chair,Closed,,HE188174,01/17/2019,Promotional Price,,UT,US United States,1,259.00,1,259.00,25.800
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,5520-78,Dining Table,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,1,245.00,1,245.00,12.542
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,5520S,Side Chair,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,6,276.00,6,276.00,14.770
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,5123-96,"(1/2)Dining Table Top, 2*16'' Leaf",Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,1,279.88,1,279.88,15.700
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,5123-96B,"(2/2)Pedestal Base, Oak/White",Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,1,99.12,1,99.12,3.240
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,5123S,Side Chair,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,8,600.00,8,600.00,27.120
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;AMZ02;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,2601-36,"Counter Height Table, Faux Marble Top",Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,1,65.00,1,65.00,4.828
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;AMZ02;,UTSTO,STOUT FURNISHINGS,S100076,SRSTE,2601-24,Counter Height Chair,Closed,,HE188174,01/17/2019,Unit Price,,UT,US United States,4,84.00,4,84.00,6.700
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,1867-50,(1/2)Hutch,Closed,,HE191699,02/06/2019,Unit Price,,UT,US United States,1,429.88,1,429.88,39.757
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,1867-55,(2/2)Buffet,Closed,,HE191699,02/06/2019,Unit Price,,UT,US United States,1,219.12,1,219.12,15.157
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,8480RED-2,Double Reclining Love Seat,Closed,,HE191699,02/06/2019,Promotional Price,,UT,US United States,2,758.00,2,758.00,79.000
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;AMZ02;,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,5873N-ST,OTTOMAN,Closed,,HE191699,02/06/2019,Promotional Price,,UT,US United States,1,38.00,1,38.00,4.044
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,5327-48,Round Dining Table,Closed,,HE191699,02/06/2019,Unit Price,,UT,US United States,1,123.00,1,123.00,8.540
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,3600-31,3-Piece Occasional Tables,Closed,,HE191699,02/06/2019,Unit Price,,UT,US United States,1,179.00,1,179.00,8.818
"HOMELEGANCE, INC",UTSTO,STOUT FURNISHINGS,O/S Customer;,AMZ01;,UTSTO,STOUT FURNISHINGS,S102185,SRSTE,1166GY-1,"Accent Chair, Gray",Closed,,HE191699,02/06/2019,Unit Price,,UT,US United States,1,73.00,1,73.00,6.230
